n2f	foehn
n2nim	minoenne
n2nim	minoen
n9Z	jeune
n9Z	jeun
n9Zed	déjeune
n@Z	jeûne
nE	haine
nE	aine
nEORt	troène
nEOf	foëne
nEOf	foène
nER	rêne
nER	reine
nER	renne
nER	raine
nER2s	sereine
nER2siv	vice-reine
nER2viR	riveraine
nER2vus	souveraine
nER2zys	suzeraine
nEREtus	souterraine
nEROb	boraine
nEROf	foraine
nEROl	lorraine
nEROm	morène
nEROm	moraine
nEROp~at~ok	contemporaine
nERa	arène
nERag	garenne
nERak	carène
nERakOzi	isocarène
nERam	marraine
nERam	marennes
nERap	parraine
nERav	varenne
nERd	drenne
nERd	draine
nERd~a	andrène
nERep	pérenne
nEResaR	rassérène
nERf	frêne
nERf	freine
nERf2R	refrène
nERfOgilO	oligophrène
nERfOziks	schizophrène
nERfaRap	paraphrène
nERfeR	réfrène
nERfebe	hébéphrène
nERf~aS	chanfreine
nERg	graine
nERge	égrène
nERgim	migraine
nERg~a	engrène
nERg~ag	gangrène
nERg~azed	désengrène
nERifs	sphyrène
nERip	pyrène
nERis	sirène
nERits	styrène
nERitsilOp	polystyrène
nERizodipel	lépidosirène
nERk	crène
nERp	prenne
nERp2R	reprenne
nERp2Rt~a	entreprenne
nERpOen	néoprène
nERpOzi	isoprène
nERpRys	surprenne
nERpa	apprenne
nERpaR	rapprenne
nERpaeR	réapprenne
nERpazed	désapprenne
nERpe	éprenne
nERped	déprenne
nERpem	méprenne
nERp~ok	comprenne
nERt	traîne
nERt	thrène
nERte	étrenne
nERt~a	anthrène
nERt~a	entraîne
nERt~anef	phénanthrène
nERym	murène
nER~a	enrêne
nES	chêne
nES	chaîne
nESORg	groschen
nESa	achaine
nESa	achène
nESed	déchaîne
nESil	lichen
nESinim	minichaîne
nESoRp	prochaine
nESteSt	tchétchène
nES~a	enchaîne
nES~azed	désenchaîne
nEZ	gêne
nEZ	gène
nEZORdi	hydrogène
nEZORdiSed	déshydrogène
nEZORd~a	androgène
nEZORe	érogène
nEZORek	kérogène
nEZORete	hétérogène
